,formula_label,symbol_set,subject
435,Cuthill–McKee algorithm,"{i, A, R, Adj}",Life sciences
436,Cycle rank,"{r, V, G, v}",Fields of mathematics
437,Cyclostationary process,"{τ, R, E, t, x}",Applied sciences
438,D'Alembert's formula,"{c, g, h, u, t, x}",Fields of mathematics
439,DBAR problem,"{∂, z, g, f}",Fields of mathematics
440,DIIS,"{i, m, c, e}",Fields of mathematics
441,Daraf,{Ω},Subfields of physics
442,Darcy's law,"{a, A, b, L, Q, p, κ, μ}",Subfields of physics
443,Dark state,{H},Subfields of physics
444,Data validation and reconciliation,"{dim, s, R}",Applied sciences
445,Davenport constant,"{i, p, C, e, G}",Fields of mathematics
446,Davis distribution,"{b, e, f, n, μ, x, Γ, ζ}",Life sciences
447,De Boor's algorithm,"{d, i, n, p, s, x, N}",Applied sciences
448,De Bruijn graph,"{S, n, m, s, V}",Applied sciences
449,De Sitter–Schwarzschild metric,"{d, f, θ, s, r, t, ϕ, sin}",Fields of mathematics
450,Dean number,"{c, R, e, D}",Life sciences
451,Debye function,"{e, d, n, t, x, D}",Fields of mathematics
452,Debye–Waller factor,"{q, i, u, exp}",Subfields of physics
453,Decoding methods,"{y, P, x}",Fields of mathematics
454,Decoherence-free subspaces,"{I, H, S, B}",Subfields of physics
455,Decomposition of spectrum,"{p, c, r, σ, T}",
456,Deduction theorem,"{S, E, n}",Life sciences
457,Degen's eight-square identity,"{A, a, c, b, e, d, g, F, H, f, C, $, G, B, h, E, D}",Fields of mathematics
458,Degree,"{v, V, E, deg}",
459,Degree of an algebraic variety,"{d, i, m, L, n, V}",Fields of mathematics
460,Dehn twist,"{I, S}",Fields of mathematics
461,Delta neutral,"{s, ϵ, C}",Fields of mathematics
462,Delta operator,"{Q, x, a, g, f}",Fields of mathematics
463,Deltoid curve,"{a, x, cos, t}",Fields of mathematics
464,Demand for money,"{d, M, L, P, R, Y}",Society
465,Demographic gravitation,"{F, d, N}",Fields of mathematics
466,Denny's paradox,"{σ, c, m, ρ, g}",Life sciences
467,Denoising Algorithm based on Relevance network Topology,"{A, Ψ, B, log, f, H}",Branches of biology
468,Denotational semantics of the Actor model,"{⊥, e, D, g, i, S, o, n, p, s, r, t, ∞}",Fields of mathematics
469,Depletion,"{A, C, B, D, S, R}",
470,Depreciation,"{y, a, s, r, e}",Professional studies
471,Deriche edge detector,"{e, ω, f, i, S, n, s, x, α}",Applied sciences
472,Derivative of the exponential map,"{e, d, t, exp, Y, X, Z}",Fields of mathematics
473,Derjaguin approximation,"{e, F, h, f, π, R, W}",
474,Detective quantum efficiency,"{S, I, s, T}",Applied sciences
475,Determinantal point process,"{i, K, j, ρ, n, x}",Applied sciences
476,Detrended fluctuation analysis,"{i, x, t, X}",Life sciences
477,Dewetting,"{S, γ}",Environmental studies
478,Diagnostic odds ratio,"{P, F, T, N}",Auxiliary sciences of history
479,Diamond anvil cell,"{A, p, F}",Subfields of physics
480,Dichromatic reflectance model,"{c, b, m, L, s, λ}",Fields of mathematics
481,Diesel cycle,"{a, c, e, f, i, h, m, l, n, s, r, t, y, η}",Applied sciences
482,Difference quotient,"{h, x, f}",Fields of mathematics
483,Difference-map algorithm,"{y, x, n, ∞, F}",Political science theories
484,Differential entropy,"{log, f, h, x, X, d}",Branches of philosophy
485,Differential optical absorption spectroscopy,"{h, z, n, F}",Applied sciences
486,Diffraction efficiency,"{P, η}",Branches of biology
487,Diffraction-limited system,"{θ, sin, λ, d, n}",Branches of biology
488,Diffusion creep,"{x, C, J, Δ, D}",Applied sciences
489,Digital topology,"{M, g}",Fields of mathematics
490,Dihedral group of order 6,"{a, r}",Fields of mathematics
491,Dilution assay,"{e, F, z, u, f}",Pharmaceutical sciences
492,Dimension reduction,"{A, cos, L, n, x, ϕ, π}",
493,Dimensional regularization,"{p, m, d, π}",Subfields of physics
494,Diophantine set,"{∃, m, N, P, S, n, k}",Life sciences
495,Diophantus II.VIII,"{b, d, f, ρ, R, u, t, V, x}",Life sciences
496,Dirac constant,"{i, p, h}",
497,Dirac delta function,"{x, f, δ, d, ∞}",Fields of mathematics
498,Dirac equation,"{Ψ, c, i, ℏ, ∂, m, p, t, α, β}",Fields of mathematics
499,Dirac equation in curved spacetime,"{Ψ, a, e, D, i, m, μ, γ}",Fields of mathematics
500,Dirac equation in the algebra of physical space,"{A, Ψ, e, i, ∂, m}",Fields of mathematics
501,Dirac operator,"{Δ, D}",Fields of mathematics
502,Direct multiple shooting method,"{y, a, b, t, f}",Fields of mathematics
503,Direct sum,"{a, b}",Fields of mathematics
504,Dirichlet L-function,"{χ, s, n, L, ∞}",Fields of mathematics
505,Dirichlet algebra,"{X, S, R}",Fields of mathematics
506,Dirichlet process,"{X, α, D, H, P}",Applied sciences
507,Dirichlet series,"{a, s, ∞, n}",Fields of mathematics
508,Dirichlet's principle,"{Δ, u, f}",Fields of mathematics
509,Dirichlet's unit theorem,{log},Fields of mathematics
510,Discounted utility,"{x, β, u, t}",Society
511,Discrete series representation,"{ρ, g, w, v}",Fields of mathematics
512,Discrete-time Fourier transform,"{e, G, s, S, x, α}",Applied sciences
513,Discretization,"{A, B, u, t, w, x}",Fields of mathematics
514,Disk integration,"{a, b, d, π, R, x}",
515,Dispersion relation,"{λ, v}",Physical sciences
516,Dispersionless equation,"{y, x, u, t}",Fields of mathematics
517,Distributive law between monads,"{S, l, T}",Duality theories
518,Diversification,"{E, i, n, P, R, x}",
519,Dividing a circle into areas,"{i, n, f}",Physical sciences
520,Dixon's Q test,{Q},Formal sciences
521,Dixon's identity,"{a, k}",Fields of mathematics
522,Dodgson condensation,"{j, m, l, s, μ, z}",Fields of mathematics
523,Dolbear's Law,"{C, N, T, F}",
524,Dominator,"{n, o, Dom}",
525,Doomsday rule,"{a, c, D, h, m, o, n, s, r, y, d}",Applied sciences
526,Doppler broadening,"{c, f, ln, σ, k, m, T, Δ}",Subfields of physics
527,Doppler effect,"{c, f, v}",Subfields of physics
528,Dot gain,"{a, D, G}",Political science theories
529,Douady rabbit,"{γ, M, z, n}",Fields of mathematics
530,Double Fourier sphere method,"{cos, f, π, θ, λ, sin}",Political science theories
531,Double coset,"{H, K, G, ∖}",Fields of mathematics
532,Double integrator,"{p, add, r, n}",
533,Double origin topology,"{y, x, R, n, N}",Fields of mathematics
534,Double-layer capacitance,"{E, U, d}",Professional studies
535,Double-well potential,"{A, a, c, h, n, r, t}",Subfields of physics
536,Dow Jones Industrial Average,"{p, d}",
537,Downforce,"{D, F, H, ρ, W, v}",Applied sciences
538,Drude model,"{B, E, d, τ, m, q, p, t}",Subfields of physics
539,Dual basis,"{α, B, m}",Fields of mathematics
540,Dual curve,"{f, ∂, q, p, r, y, x, z}",Life sciences
541,Dual quaternion,"{i, k, j}",Fields of mathematics
542,Dubins–Spanier theorems,"{i, X, j, M, V}",Cross-cultural studies
543,Dukhin number,"{a, D, σ, K, m, κ, u}",Physical sciences
544,Dulong–Petit law,"{K, M, c}",Life sciences
545,Dunford–Pettis property,"{e, n}",Fields of mathematics
546,Dynamic mechanical analysis,"{a, c, e, ω, f, i, l, o, n, q, s, r, u, t, y}",Physical sciences
547,Dynamic modulus,"{a, c, e, ω, f, i, h, l, o, n, q, s, r, u, t, w, y, π}",Physical sciences
548,Dynamic structure factor,"{d, ω, F, i, k, π, S, t, ∞}",Subfields of physics
549,Dynamical system,"{U, M, T, Φ}",Fields of mathematics
550,Dynamo theory,"{B, ∂, ∇, u, t, η}",Subfields of physics
551,Dynamometer,"{P, τ, ω}",Subfields of physics
552,Earnings surprise,"{E, σ, Q, S, U, t}",Professional studies
553,Earth potential rise,"{d, g, f, I, i, r, V, Z}",Applied sciences
554,Earth's magnetic field,"{B, ∂, ∇, u, t, η}",Political science theories
555,Eckert IV projection,"{p, v, x}",Political science theories
556,Econometric model,"{a, C, b, e, t, Y}",Fields of mathematics
557,Edge crush test,"{C, B, E, d, U, T}",Applied sciences
558,Edge detection,"{f, I, σ, l, erf, r, x}",Applied sciences
559,EdgeRank,"{e, d, g, s, u, w}",Applied sciences
560,Edwards curve,"{y, x, d}",Fields of mathematics
561,Effective number of bits,"{A, B, E, D, I, O, N, S}",Branches of philosophy
562,Efficiency wage,"{P, E, L, w, V}",Fields of history
563,Ehrenfest model,"{log, i, H, π, P, t, X}",Branches of thermodynamics
564,Ehrenfeucht–Mycielski sequence,"{i, f, ∞}",Fields of mathematics
565,Eigendecomposition of a matrix,"{A, Λ, V}",Fields of mathematics
566,Einselection,"{Ψ, log, H, Tr, ρ, t}",Subfields of physics
567,Einstein field equations,"{c, G, g, π, Λ, μ, ν, T}",
568,Einstein notation,"{y, i, c, x}",Fields of mathematics
569,Einstein relation,"{k, B, μ, D, T}",
570,Eisenbud–Levine–Khimshiashvili signature formula,"{x, ∂, f, X, n}",Fields of mathematics
571,Eisenstein prime,"{a, b, e, ω, i, π, z}",Cyclotomic fields
572,Eisenstein triple,"{a, c, b}",Life sciences
573,Ekman velocity,"{∂, f, τ, ∇, u, ϕ, z}",Subfields of physics
574,ElGamal encryption,"{y, h, c, m, g}",Applied sciences
575,ElGamal signature scheme,"{H, k, m, p, s, r, x, mod}",Applied sciences
576,Elasticity of intertemporal substitution,"{c, U, t, u, β, T}",Society
577,Electric field gradient,"{i, x, j, ∂, V}",Subfields of physics
578,Electric-field screening,"{F, π, q, R, r, ε}",Subfields of physics
579,Electrical length,"{p, ϵ, κ, c, v}",Subfields of physics
580,Electroacoustic phenomena,"{A, C, E, d, I, m, ρ, p, S, μ, V, ϕ}",Physical sciences
581,Electrokinematics theorem,"{A, Ω, J, d, F, ∂, Φ, q, S, r, t, ε}",Branches of philosophy
582,Electromagnetic wave equation,"{d, g, θ, t, ℓ, sin}",Fields of mathematics
583,Electron affinity,"{a, A, C, E, c, v}",Subfields of physics
584,Electron magnetic dipole moment,"{μ, m, L, e}",
585,Electron nuclear double resonance,"{E, F, H, N, Q, S, Z}",Subfields of physics
586,Electrophile,"{χ, ω, η}",Physical sciences
587,Electrovacuum solution,"{a, B, E, F, I, b}",Life sciences
588,Elementary matrix,"{i, R, j}",Fields of mathematics
589,Ellipsoid method,"{E, n, P, R, T, x, z}",Fields of mathematics
590,Ellipsoidal coordinates,"{a, c, b, λ, μ, ν, y, x, z}",Life sciences
591,Ellipsometry,"{Ψ, e, i, ρ, p, s, r, tan, Δ}",Applied sciences
592,Elliptic Gauss sum,"{χ, m, π, p, t, ϕ}",Fields of mathematics
593,Ellis wormhole,"{c, τ, σ, t, d}",Subfields of physics
594,Embree–Trefethen constant,"{∀, σ, n, ∞, x, β}",Fields of mathematics
595,Empirical distribution function,{A},Applied sciences
596,Empirical process,"{F, i, ∞, n, I, x, X}",Applied sciences
597,Empty lattice approximation,"{E, G, ℏ, m, n, k}",Subfields of physics
598,End correction,"{r, Δ, D, L}",Subfields of physics
599,Energetic space,"{a, B, E, f, i, l, o, n, r, u, v, Y}",Fields of mathematics
600,Engine efficiency,"{a, b, e, d, h, k, o, n, Q, s, r, t, w, η}",Applied sciences
601,Enriques surface,"{y, x, z, Q, w}",Fields of mathematics
602,Ensemble Kalman filter,"{Q, p, μ, T, exp, x}",Subfields of physics
603,Ensemble interpretation,{ψ},Society
604,Entanglement witness,"{A, B, i, k, ρ, p, ξ}",Formal sciences
605,Entropy in thermodynamics and information theory,"{B, i, ln, k, p, S}",Fields of mathematics
606,Entropy rate,"{∞, X, n, H}",Applied sciences
607,Enumerator polynomial,"{A, C, #, c, t, w}",Fields of mathematics
608,Enveloping von Neumann algebra,"{A, U, Φ, π}",Fields of mathematics
609,Epistemic modal logic,"{i, φ, K, ψ}",Applied sciences
610,Equation-free modeling,"{U, u, t, d}",Applied sciences
611,Equianharmonic,"{Γ, π}",Fields of mathematics
612,Equidistributed sequence,"{a, c, b, d, n, s, ∞}",Life sciences
613,Equinumerosity,"{A, B, r, o}",Life sciences
614,Equivalence class,"{a, x, S}",Fields of mathematics
615,Equivalent impedance transforms,"{q, m}",Subfields of physics
616,Equivalent noise resistance,"{e, f, k, n, R, T, Δ}",Branches of philosophy
617,Erdős–Borwein constant,"{n, B, E, ∞}",Life sciences
618,Erdős–Rényi model,"{p, M, n}",Paul Erdős
619,Erdős–Turán inequality,"{a, C, m, n, θ, x, sin}",Fields of mathematics
620,Ergodic sequence,"{A, k, N, q, t, ∞}",Life sciences
621,Ermakov–Lewis invariant,"{q, Ω, t, H, p}",Subfields of physics
622,Error analysis for the Global Positioning System,"{σ, R, m}",Categories by parameter
623,Essential manifold,"{H, K, n, M, π}",Fields of mathematics
624,Essential supremum and essential infimum,"{a, X, f, x, ∞}",Physical sciences
625,Eternal dominating set,"{∞, H, γ, G, ◻}",Fields of mathematics
626,Euclidean quantum gravity,"{a, e, D, g, m, L, R, r, t, exp, x, ϕ, d}",Subfields of physics
627,Euler characteristic,"{b, E, F, χ, k, V}",Fields of mathematics
628,Euler equations,"{g, ∂, ρ, p, ∇, t, v}",
629,Euler method,"{f, τ, N, U, t, v, n}",Fields of mathematics
630,Euler tour technique,"{x, g, v}",Life sciences
631,Euler's Disk,"{a, M, π, μ, t, α}",Fields of mathematics
632,Euler's criterion,"{Q, I, T}",Life sciences
633,Euler's formula,"{i, x, cos, e, sin}",Life sciences
634,Euler's identity,"{i, e, π}",Fields of mathematics
635,Euler's sum of powers conjecture,"{i, a, k, b, n}",Life sciences
636,Euler's theorem,"{α, cos, e, κ, sin}",Life sciences
637,Euler's totient function,"{p, φ, n}",Fields of mathematics
638,Eulerian number,"{A, k, m, t, n}",Fields of mathematics
639,Euler–Maclaurin formula,"{a, b, d, f, k, m, R, x, B}",Fields of mathematics
640,Euler–Tricomi equation,"{y, x, u}",Life sciences
641,European Commission number,"{N, R, mod}",
642,Evenly spaced integer topology,"{a, k, λ, Z}",Fields of mathematics
643,Event calculus,"{C, D, G, F}",Fields of history
644,Evolvability,"{Perf, f, n, r, X, x, D}",Branches of biology
645,Examples of generating functions,"{x, n, G, ∞}",Life sciences
646,Excess demand function,"{P, t, λ, d, f}",Society
647,Excursion probability,"{P, u, t, T, f}",Applied sciences
648,Existential generalization,"{Q, x, ∃, a}",Life sciences
649,Explicit algebraic stress model,"{b, G, i, j, λ, T}",Subfields of physics
650,Exponential decay,"{t, λ, d, N}",Fields of mathematics
651,Exponential factorial,{n},Fields of mathematics
652,Exponential object,"{y, x, λ, g}",Fields of mathematics
653,Exponential sheaf sequence,"{M, O, exp}",Fields of mathematics
654,Exponential smoothing,"{a, A, f, k, n, x}",Applied sciences
655,Exponential utility,"{a, u, c, e}",Society
656,Exponentially modified Gaussian distribution,"{e, c, B, M, ω}",Life sciences
657,Extended Kalman filter,"{x, k, u, w, f}",Professional studies
658,Extensions of symmetric operators,"{i, z}",Fields of mathematics
659,Extouch triangle,"{A, C, B, T, csc}",Life sciences
660,Extremal graph theory,{n},Fields of mathematics
661,Extreme learning machine,"{f, i, h, L, x, β}",Life sciences
662,F-algebra,"{e, f, i, H, Q, P, E, Γ, Δ, ε}",Fields of mathematics
663,F-distribution,"{p, K, t, x}",Auxiliary sciences of history
664,FEE method,"{I, A, L}",Applied sciences
665,FIDSAM,"{A, τ, e, t, F}",
666,Factor graph,"{g, f, j, m, n, S, X}",Fields of mathematics
667,Fan-out,"{I, min}",Applied sciences
668,Faraday constant,"{A, F, e, N}",Physical sciences
669,Faraday's law of induction,"{A, B, d, Σ, Φ, r, t}",Fields of mathematics
670,Faro shuffle,{σ},Political science theories
671,Farrell–Jones conjecture,"{K, R, G, n}",Fields of mathematics
672,Fast marching method,"{Ω, u, x, ∇, f}",Fields of mathematics
673,Fatou–Lebesgue theorem,"{SO, Spin}",Fields of mathematics
674,Favard constant,"{K, π, r, k, ∞}",Fields of mathematics
675,Federal Bridge Gross Weight Formula,"{ℓ, w, n}",Applied sciences
676,Feller's coin-tossing constants,"{s, Alph}",Fields of mathematics
677,Fermat curve,"{y, x, n}",Fields of mathematics
678,Fermat's little theorem,"{a, p, mod}",Fields of mathematics
679,Fermi level,"{A, μ, B, e, V}",Subfields of physics
680,Fermion doubling,"{d, ψ, ∂, m, S, x}",Subfields of physics
681,Fermi–Dirac statistics,"{A, B, i, j, S, X}",Auxiliary sciences of history
682,Fermi–Walker transport,"{d, F, s, V, X, D}",Fields of mathematics
683,Fiber Bragg grating,"{e, B, λ, Λ, n}",Applied sciences
684,Fibonacci coding,"{i, k, N, d, F}",Society
685,Fibonacci series,"{x, F, n, f}",
686,Field electron emission,"{γ, M, F}",Subfields of physics
687,Filbert matrix,"{i, j, f, F}",
688,Filtration,"{t, F}",Humanities
689,Final value theorem,"{f, t, ∞}",Fields of mathematics
690,Financial correlation,"{d, σ, S, μ, t, z}",Fields of mathematics
691,Fineness modulus,"{a, e, d, F, i, f, m, l, o, n, s, r, u, t}",Physical sciences
692,First break picking,"{arcsin, t, sin}",Subfields of physics
693,First fundamental form,"{I, x, y}",Fields of mathematics
694,First law of thermodynamics,"{Q, E, d, W, t}",Life sciences
695,Fischer group Fi24,"{x, N, T, n}",Fields of mathematics
696,Fisher consistency,"{θ, F, T, n}",Auxiliary sciences of history
697,Fisher-Kolmogorov equation,"{k, ∂, q, u, t, α, x}",
698,Fitting subgroup,"{H, K, C, G, Fit}",Fields of mathematics
699,Flatness problem,"{a, c, G, H, k, ρ, π}",Subfields of physics
700,Fleming–Tamao oxidation,"{Ω, ∂, Δ, u, f}",Life sciences
701,Flipped SU(5),"{a, c, d, l, n, p, s, u}",Subfields of physics
702,Foldback,"{a, e, d, g, p, I, i, l, o, n, P, s, r, u, t, V}",
703,Folded unipole antenna,"{I, P, R}",Subfields of physics
704,Forces on sails,"{E, D, F, L, R, T, V}",Applied sciences
705,Foreign-exchange option,"{c, e, d, f, K, N, S, r, T}",
706,Form factor,"{σ, N, q, κ, μ, ν, α, β, γ, ε}",
707,Fouling,"{P, k, d, t}",Professional studies
708,Foundational relation,"{A, ∀, ∃, ∅, S, R, x}",Fields of mathematics
709,Four-acceleration,"{A, a, c, d, τ, U, u, γ}",Physical sciences
710,Four-current,"{J, j, μ, c, ρ}",Subfields of physics
711,Four-frequency,"{a, N, ν, n}",Fields of mathematics
712,Fourt-Woodlock equation,"{H, M, R, U, T, V}",
713,Fractional Brownian motion,"{H, s, B, E, t}",Applied sciences
714,Fractional Schrödinger equation,"{log, k, m, N, S, r}",Physical sciences
715,Fractional coloring,"{χ, f, b, G, ∞}",Fields of mathematics
716,Fracture toughness,"{P, S, L, O, d}",Physical sciences
717,Frame problem,{¬},
718,Fransén–Robinson constant,"{x, F, Γ, d, ∞}",Fields of mathematics
719,Free boundary problem,"{∂, ∇, Q, T, α, t}",
720,Free cash flow,"{C, B, F, I, O, t}",Professional studies
721,Free energy perturbation,"{s, d, sinh, cosh}",Applied sciences
722,Free regular set,"{Ω, τ, Γ, H}",Fields of mathematics
723,Free variables and bound variables,"{k, f, n}",Political science theories
724,Free-air gravity anomaly,"{b, g, F, o, s, λ, δ}",Subfields of physics
725,Free-electron laser,"{K, r, u, γ, λ}",Applied sciences
726,Freiheitssatz,"{x, r, G, n}",Fields of mathematics
727,Frequency offset,"{c, f, h, L, o, p, s}",Applied sciences
728,Fresnel integral,"{cos, d, C, S, t, x, sin}",Life sciences
729,Fresnel number,"{a, λ, L, F}",Branches of biology
730,Friedmann–Lemaître–Robertson–Walker metric,"{a, d, χ, k, s, t, x}",Life sciences
731,Friedrichs extension,"{T, ξ, dom}",Fields of mathematics
732,Frobenius norm,"{A, F}",
733,Frobenius pseudoprime,"{k, n, Q, P, U, mod}",Applied sciences
734,Frobenius theorem,"{f, i, k, n, R, r}",Science disambiguation pages
735,Frobenius–Schur indicator,"{χ, g, μ, d, G}",Fields of mathematics
736,Frontogenesis,"{A, a, b, h, q, T}",Branches of meteorology
737,Froude–Krylov force,"{c, Λ, m, κ}",Physical sciences
738,Fuchsian model,"{A, L, ρ, P, S, R, Γ}",Fields of mathematics
739,Fuel fraction,"{Δ, ζ, W}",Professional studies
740,Fugacity,"{P, φ, f}",Branches of thermodynamics
741,Fuhrmann circle,"{a, c, R, b}",Life sciences
742,Fujiki class C,"{C, d, ω, i, M, m}",Fields of mathematics
743,Functional integration,"{a, b, d, f, J, L, x}",Fields of mathematics
744,Fundamental domain,"{H, z, U}",Life sciences
745,Fundamental increment lemma,"{a, h, f}",Fields of mathematics
746,Future value,"{P, r, V, t, F}",Fields of mathematics
747,Fσ set,"{y, A, r, R, Q}",Fields of mathematics
748,G Scorpii,"{a, λ, e, d, F, i, m, l, π, s, r, μ, T, ϕ, tan}",Applied sciences
749,G.711,"{y, e, s, m}",Applied sciences
750,GC-content,"{A, C, T, G}",Life sciences
751,GCJ02,"{π, ϕ, sin, θ, _, a, c, e, d, g, i, k, l, o, n, p, s, r, t, w, y, x, Δ}",
752,Galilean invariance,"{r, t, v}",Galileo Galilei
753,Galilei number,"{a, g, ν, G, L}",Life sciences
754,Gall–Peters projection,"{A, i, n}",Political science theories
755,Galois connection,"{B, G, g, ∀, ∅, o, r, x, X}",Duality theories
756,Galois module,"{K, r, C, W}",Fields of mathematics
757,Galton–Watson process,"{X, j, ξ, n}",Humanities
758,Gambler's ruin,"{P, n}",Branches of philosophy
759,Gamma diversity,"{α, β, γ}",Branches of biology
760,Gas-phase ion chemistry,"{A, B, e}",Applied sciences
761,Gauss's law,"{Q, E, ε, Φ}",Carl Friedrich Gauss
762,Gauss's law for magnetism,"{A, B, ∇}",Subfields of physics
763,Gaussian function,"{a, c, b, e, f, x}",Fields of mathematics
764,Gaussian orbital,"{m, l, Φ, θ, R, Y, ϕ, r}",Subfields of physics
765,Gaussian process,"{X, k, t}",Applied sciences
766,Gaussian q-distribution,"{c, E, q, s, ν, x}",Fields of mathematics
767,Gaussian quadrature,"{d, f, i, n, w, x}",Physical sciences
768,Gaussian year,"{k, π}",Political science theories
769,Gauss–Jacobi quadrature,"{x, β, d, α, f}",Physical sciences
770,Gauss–Kuzmin distribution,"{p, k, log}",Fields of mathematics
771,Gauss–Laguerre quadrature,"{x, ∞, e, d, f}",Physical sciences
772,Gay-Lussac's law,"{P, k, T}",Life sciences
773,Gecko feet,"{A, F, D, π}",Life sciences
774,Gelfand–Naimark theorem,"{x, π, ξ, f}",Fields of mathematics
775,Gelfond's constant,"{i, e, π}",Fields of mathematics
776,Gell-Mann matrices,"{i, k, j, g, f}",Fields of mathematics
777,Gell-Mann–Okubo mass formula,"{a, I, S, M}",Subfields of physics
778,Gene expression programming,"{a, c, b, d}",Life sciences
779,General Leibniz rule,"{k, f, C, g, n}",Fields of mathematics
780,General linear methods,"{y, t, f}",Fields of mathematics
781,General linear model,"{Y, X, B, U}",Auxiliary sciences of history
782,Generalization error,"{x, d, f, I, ρ, n, Y, V, y, X}",Applied sciences
783,Generalized Clifford algebra,"{k, j, e, ω}",Fields of mathematics
784,Generalized Fourier series,"{a, b, F, φ, Φ, n, ∞}",Fields of mathematics
785,Generalized Verma module,"{p, M, U, g, V}",Fields of mathematics
786,Generalized continued fraction,"{a, x, b}",Fields of mathematics
787,Generalized eigenvector,"{I, A, λ, m, x}",Fields of mathematics
788,Generalized estimating equation,"{∂, i, k, j, N, μ, V, Y, U, β}",Applied sciences
789,Generalized flag variety,"{k, V}",Fields of mathematics
790,Generalized hypergeometric function,"{a, b, F, n, q, p, ∞, β, z}",Fields of mathematics
791,Generalized quadrangle,"{q, H, s, t}",Fields of mathematics
792,Generalized second-price auction,"{α, k}",Professional studies
793,Generalized symmetric group,"{C, d, G, S, ∞, y, x, z}",Fields of mathematics
794,Genetic algebra,"{e, Z, B, U, K}",Fields of mathematics
795,Genetic load,"{L, w}",Subfields of evolutionary biology
796,Genotype frequency,"{χ, γ, M, ω}",Subfields of evolutionary biology
797,Geometric dimensioning and tolerancing,"{A, ◻}",
798,Geometric feature learning,"{a, x, ∃, F}",Applied sciences
799,Geometric mean theorem,"{q, h, p}",Life sciences
800,Geometric phase,"{C, i, ∇, n, R, t, γ}",Physical sciences
801,Geometric separator,"{j, intersect, n}",Applied sciences
802,Geometrical frustration,"{G, I, H, k, S, μ, ν}",Subfields of physics
803,Giant Magneto Resistance,"{H, R, δ}",
804,Gibbs free energy,"{G, p, S, U, T, V}",Environmental studies
805,Gibbs isotherm,"{γ, Γ, μ, d}",Subfields of physics
806,Gibbs' phase rule,"{P, C, F}",
807,Gijswijt's sequence,"{i, a, ∞, n}",Fields of mathematics
808,Gilbert–Varshamov bound,"{q, A, d, n}",Fields of mathematics
809,Gilbreath's conjecture,"{p, d, n}",Branches of philosophy
810,Gimel function,"{ℷ, c, κ, f}",Life sciences
811,Gingerbreadman map,"{i, d, o, f}",Fields of mathematics
812,Glomerular filtration rate,"{R, G, F}",
813,Glossary of category theory,"{C, D, G, F, Hom, Y, X}",Glossaries of mathematics
814,Glossary of game theory,"{i, R, N, Σ, π}",Glossaries of mathematics
815,Glossary of module theory,"{M, ∀, m, n, s, r, R}",Glossaries of mathematics
816,Glove problem,"{M, N}",Fields of mathematics
817,Goertzel algorithm,"{M, log, N}",Applied sciences
818,Goldbach's conjecture,"{ln, m, n}",Fields of mathematics
819,Goldstine theorem,"{C, φ, Φ, n, X, x}",Fields of mathematics
820,Golomb sequence,"{a, φ, n}",Fields of mathematics
821,Goodstein's theorem,"{a, k, m, n}",Life sciences
822,Goormaghtigh conjecture,"{y, x, m, n}",Branches of philosophy
823,Gottlieb polynomials,"{e, F, k, n, λ, ℓ, x}",Fields of mathematics
824,Gradient network,"{h, R, J, N}",Physical sciences
825,Graham's law,{M},Life sciences
826,Gramian matrix,"{j, d, G, f, i, τ, t, ℓ}",Fields of mathematics
827,Grandi's series,"{∞, n}",Fields of mathematics
828,Granger causality,"{ln, r, m}",Branches of philosophy
829,Graph dynamical system,"{i, x, F, n, f}",Fields of mathematics
830,Grassmann integral,"{a, b, d, g, f, θ}",Fields of mathematics
831,Greeks,"{d, ln, K, τ, σ, q, S, r}",Humanities
832,Green's matrix,"{X, x, t, n}",Fields of mathematics
833,Griffiths group,"{a, g, h, k, m, l, o, Griff, X, Z}",Fields of mathematics
834,Griffiths inequality,"{A, H, J, σ}",Fields of mathematics
835,Grigorchuk group,"{s, log, η}",Fields of mathematics
836,Gross–Koblitz formula,"{f, i, τ, π, q, p, s, r, Γ}",Fields of mathematics
837,Grothendieck inequality,"{a, i, s, j, t}",Fields of mathematics
838,Grothendieck topology,"{A, α, β, X, F}",Fields of mathematics
839,Grothendieck universe,"{x, c, U}",Life sciences
840,Grothendieck–Hirzebruch–Riemann–Roch theorem,"{X, K}",
841,Grothendieck–Ogg–Shafarevich formula,"{C, g, F, χ, n, S, w, x, X}",Fields of mathematics
842,Group code,"{i, I, cos, θ}",Fields of mathematics
843,Growth curve,"{A, C, B, E, Σ, X}",
844,Grötzsch graph,{x},Fields of mathematics
845,Grünwald–Letnikov derivative,"{x, h, f}",Fields of mathematics
846,Gudermannian function,"{X, k, t}",Fields of mathematics
847,Gumbel distribution,"{x, β, μ, e, F}",Applied sciences
848,Göbel's sequence,"{x, n}",Fields of mathematics
849,Gödel numbering,"{p, c, e, x, n}",Fields of mathematics
850,Gδ set,"{Q, A, r, R, y}",Fields of mathematics
851,HOMFLY polynomial,"{k, o, n, P, u, t}",Fields of mathematics
852,Hacoversine,"{θ, hacoversin, sin}",Fields of mathematics
853,Hadamard matrix,"{I, H, T, n}",Fields of mathematics
854,Hadamard's dynamical system,"{g, i, H, j, m, q, p}",Life sciences
855,Hadjicostas's formula,"{d, s, y, x, Γ, ζ, log}",Fields of mathematics
856,Hadwiger conjecture,"{i, s, n, K, v}",
857,Hadwiger–Finsler inequality,"{a, c, b, T}",Fields of mathematics
858,Hagen number,"{d, g, H, L, ρ, p, ν, x}",Life sciences
