,formula_label,symbol_set,subject
377,Concentration inequality,"{a, Pr, ), (, ≤, ≥, Φ, X, =}",Life sciences
378,Conditional probability,"{A, ∩, B, ), (, P, =, |}",Auxiliary sciences of history
380,Conference graph,"{,, −, ±, v}",Life sciences
381,Configural frequency analysis,"{c, ), e, ∏, i, (, m, n, p, =}",Auxiliary sciences of history
382,Conformal gravity,"{a, c, b, d, g, ∫, C, S, x, −, =}",Physical sciences
383,Conformational entropy,"{), i, (, Σ, l, n, p, S, R, −, =}",Life sciences
384,Congruence coefficient,"{′, f, ), (, +, y, x, =}",Auxiliary sciences of history
385,Congruence lattice problem,"{F, ), (, ≥, n, →, ∞, x, ;, lim inf}",Life sciences
386,Conjugate index,"{q, p, +, =}",Life sciences
387,Conjugated system,"{−, E, ), (, ℏ, m, L, π, n, =, +}",Physical sciences
388,Conjunction introduction,"{Q, P, ,, ∧, ∴}",Life sciences
389,Connection form,"{e, ), (, k, ξ, ∑, α, =}",Life sciences
390,Conoid,"{), (, ¨, ,, r, det, ˙, =}",Life sciences
391,Consensus theorem,"{∨, ¯, y, x, z, =}",Life sciences
392,Constant factor rule in integration,"{y, x, ∫, =, d}",Physical sciences
393,Consumer leverage ratio,{=},Professional studies
394,Contact process,{→},Physical sciences
398,Continuous knapsack problem,"{i, x, ≤, ∑, W}",Life sciences
399,Continuous-wave radar,"{c, ′, f, ), (, +, /, r, t, v, −, =}",Life sciences
400,Contract curve,"{), max, ,, u, (, x}",Life sciences
401,Contraposition,"{A, B, →, ¬, (, ), ⟺}",Life sciences
402,Controllability,"{A, B, ), (, +, u, t, x, ˙, =}",Applied sciences
403,Controlled NOT gate,"{=, [, ], CNOT}",Physical sciences
404,Convergent matrix,"{A, ), lim, k, →, (, ∞, =}",Life sciences
405,Convex combination,"{x, +, ⋯, α, n}",Life sciences
406,Convex metric space,"{d, ), (, +, ,, y, x, z, =}",Life sciences
407,Convolution,"{∫, e, d, g, f, ), (, τ, t, ∞, −, =, ∗}",Life sciences
408,Convolution power,"{⏟, δ, ⋯, ,, n, x, =, ∗}",Life sciences
409,Conway group,"{E, g, f, i, (, /, N, ), ∑, x, ;, =}",Life sciences
412,Coordinate rotations and reflections,"{a, G, χ, (, ), ∑, =, ζ}",Humanities
413,Cophenetic correlation,"{ψ, χ, ], +, ,, ϕ, =, [}",Life sciences
414,Coplanarity,"{⋅, ×, ), ], (, x, [, −, =}",Life sciences
415,Correlated equilibrium,"{Ω, ω, ∈, i, (, ≥, ,, q, ), s, u, ∑, ϕ, −}",Life sciences
416,Correlation swap,"{), (, −, ρ, N}",Society
417,Cosmic censorship hypothesis,"{=, ℏ, E, ω}",Society
418,Cosmic neutrino background,"{∝, σ, T, g}",Life sciences
419,Cost-of-living index,"{C, P, ), (, K, ,, p, u, =}",Applied sciences
420,Couette flow,"{f, ), (, ,, V, y, x, =}",Physical sciences
421,Coulomb's law,"{e, F, k, ,, π, q, r, ^, =, ε, |}",Physical sciences
422,Coupon collector's problem,"{∈, {, ), (, =, ], L, ,, q, p, u, T, W, ., X, [, ˙, }, ;, |}",Life sciences
423,Courant–Friedrichs–Lewy condition,"{C, =, u, t, x, Δ, |}",Life sciences
424,Cousin prime,"{B, ), (, +, ⋯, =}",Life sciences
425,Covering problem of Rado,"{F, I, (, ), S, sup, X, inf, =, |}",Life sciences
426,Cramér's theorem,"{∈, ), (, k, N, ∑, X, n, =}",Life sciences
427,Cramér–Rao bound,"{→, p, S, ↪}",Auxiliary sciences of history
428,Craps principle,"{∪, E, ], ∣, P, ⁡, [, =, +}",Auxiliary sciences of history
429,Critical heat flux,"{f, ), h, q, T, w, (, −, =}",Physical sciences
430,Critical ionization velocity,"{e, i, v, m, o, n, V, =}",Physical sciences
431,Critical speed,"{g, ω, i, n, ∑, ≈, w, y, =}",Physical sciences
432,Critical state soil mechanics,"{′, ∂, q, p, s, ν, =, ε}",Applied sciences
433,Critical variable,"{e, G, =, K, /, R, T, −, Δ}",Physical sciences
434,Cross Gramian,"{A, C, B, e, d, ∫, :=, t, W, ∞, X}",Life sciences
435,Cross-ratio,"{A, ⋅, C, B, D, ), (, ,, ;, =}",Life sciences
436,Crosswind kite power,"{A, a, C, D, ), (, L, ρ, P, V, =}",Applied sciences
438,Crystal momentum,"{p, ℏ, k, ≡}",Physical sciences
439,Cuckoo search,"{E, +, s, t, x, =}",Life sciences
440,Current algebra,"{a, c, b, f, i, =, ], ,, ρ, →, ), (, y, x, [, −, δ}",Life sciences
441,Curve sketching,"{a, +, y, x, −, =}",Life sciences
442,Curve25519,"{y, x, +, =}",Life sciences
443,Customer lifetime value,"{⋅, d, i, (, +, n, ), r, ∑, −, =}",Applied sciences
444,Cuthill–McKee algorithm,"{A, i, =, ⁡, ), R, (, Adj, ∖}",Life sciences
445,Cycle rank,"{∈, G, min, ), (, +, v, r, V, −, =}",Life sciences
446,Cyclostationary process,"{E, ), (, +, τ, ,, R, t, ⁡, }, x, {, =, ;, ∗}",Applied sciences
447,D'Alembert's formula,"{c, g, ), h, ,, u, t, (, x, −, =}",Life sciences
448,DBAR problem,"{¯, g, f, ), (, ∂, ,, z, =}",Life sciences
449,DIIS,"{c, e, i, +, m, ∑, =}",Life sciences
450,DUT1,"{−, =}",Life sciences
451,Daraf,"{Ω, −, =}",Physical sciences
452,Darcy's law,"{a, A, b, ), (, L, Q, p, κ, μ, −, =}",Physical sciences
453,Dark state,"{H, +, =}",Physical sciences
454,Dasymeter,"{−, =}",Applied sciences
455,Data validation and reconciliation,"{dim, ), (, s, R, ⁡, ∑}",Applied sciences
456,Davenport constant,"{C, e, G, i, p, ⊕, =}",Life sciences
457,Davis distribution,"{b, e, f, ), (, ,, n, μ, −, x, ;, Γ, =, ζ}",Life sciences
458,De Boor's algorithm,"{−, d, ), i, (, n, p, s, ∑, x, N, =}",Applied sciences
459,De Bruijn graph,"{), (, …, m, s, n, S, V, }, {, =, ,}",Applied sciences
460,De Sitter–Schwarzschild metric,"{d, f, ), (, +, θ, s, r, t, ⁡, ϕ, −, =, sin}",Life sciences
461,Dean number,"{=, c, R, e, D}",Life sciences
462,Debye function,"{∫, e, d, ), (, n, t, x, −, =, D}",Life sciences
463,Debye–Waller factor,"{⟨, ⋅, ⟩, i, (, q, ), u, exp, ⁡, =}",Physical sciences
464,Decoding methods,"{), (, ∣, P, y, x}",Life sciences
465,Decoherence-free subspaces,"{B, I, H, +, ⊗, S, =, ^}",Physical sciences
467,Deduction theorem,"{E, ⊢, ,, ., S, n, −}",Life sciences
468,Degen's eight-square identity,"{−, $, ), (, +, =, A, C, B, E, D, G, F, H, a, c, b, e, d, g, f, h}",Life sciences
470,Degree of an algebraic variety,"{d, i, (, +, m, L, n, ), V, =}",Life sciences
471,Dehn twist,"{I, S, ×}",Life sciences
472,Delta neutral,"{C, ′, ), (, +, ″, /, s, ϵ, =}",Life sciences
473,Delta operator,"{a, g, f, ), (, +, Q, x, =}",Life sciences
474,Deltoid curve,"{a, cos, ), (, +, t, ⁡, x, =}",Life sciences
475,Demand for money,"{d, ), (, M, L, ,, P, R, Y, =, ∗}",Society
476,Demographic gravitation,"{⋅, F, =, d, N}",Life sciences
477,Denny's paradox,"{c, g, ), m, σ, ρ, /, (, =}",Life sciences
478,Denoising Algorithm based on Relevance network Topology,"{A, Ψ, B, log, f, ), H, +, min, ,, /, (, =, ⁡, {, }, |}",Life sciences
479,Denotational semantics of the Actor model,"{⊥, ), e, D, g, →, i, lim, S, o, n, p, s, r, t, ∞, (, ≡}",Life sciences
481,Depreciation,"{a, e, ), (, s, r, y, −, =}",Professional studies
482,Deriche edge detector,"{e, ω, f, i, (, S, n, ), s, x, α, −, =, |}",Applied sciences
483,Derivative of the exponential map,"{None, ′, e, d, ), (, ,, t, exp, ⁡, Y, X, Z, =, |}",Life sciences
485,Detective quantum efficiency,"{⊆, ∈, I, (, ∣, =, s, ), S, T, {, }}",Applied sciences
486,Determinantal point process,"{i, (, K, j, det, ,, ρ, n, ), …, x, =, ≤}",Applied sciences
487,Detrended fluctuation analysis,"{⟨, ⟩, i, (, ), t, X, ∑, x, −, =}",Life sciences
488,Dewetting,"{−, S, γ, =}",Environmental studies
489,Diagnostic odds ratio,"{F, /, N, P, T, =}",Auxiliary sciences of history
490,Diamond anvil cell,"{A, p, =, F}",Physical sciences
491,Dichromatic reflectance model,"{c, b, ), (, +, m, L, s, λ, =}",Life sciences
492,Diesel cycle,"{a, c, e, f, i, h, m, l, n, s, r, t, y, [, ], η}",Applied sciences
493,Difference quotient,"{f, ), h, +, (, x, −}",Life sciences
494,Difference-map algorithm,"{∈, ′, F, ), (, +, …, ,, n, ∞, y, x, [, −, =}",Society
495,Differential entropy,"{∫, log, f, ), h, ⁡, (, x, X, −, =, d}",Life sciences
496,Differential optical absorption spectroscopy,"{F, ), h, n, (, z, =}",Applied sciences
497,Diffraction efficiency,"{P, =, η}",Life sciences
498,Diffraction-limited system,"{d, n, θ, λ, ⁡, =, sin}",Life sciences
499,Diffusion creep,"{C, D, =, J, x, −, Δ}",Applied sciences
500,Digital topology,"{g, ), (, +, M, ,, /, −, =}",Life sciences
501,Dihedral group of order 6,"{a, ⟨, ⟩, ∣, ,, r, −, =}",Life sciences
504,Dimensional regularization,"{∫, d, ), (, +, m, π, p}",Physical sciences
505,Diophantine set,"{∈, ), (, ∃, ¯, m, ,, N, P, S, ⟺, n, =, k}",Life sciences
506,Diophantus II.VIII,"{∫, b, d, f, ), (, +, ¨, ,, ρ, R, u, t, V, x, −, =, ′}",Life sciences
508,Dirac delta function,"{∫, d, f, ), }, =, (, ∞, x, {, −, δ}",Life sciences
509,Dirac equation,"{Ψ, ⋅, c, ), i, (, ℏ, ∂, m, p, t, α, β, =, +, ^}",Life sciences
510,Dirac equation in curved spacetime,"{Ψ, a, −, e, D, i, m, μ, γ, =}",Life sciences
511,Dirac equation in the algebra of physical space,"{A, Ψ, ¯, e, i, +, ∂, m, †, =}",Life sciences
512,Dirac operator,"{=, Δ, D, ,}",Life sciences
513,Direct multiple shooting method,"{a, ″, b, f, ), (, ,, ′, t, y, =}",Life sciences
514,Direct sum,"{a, ⋅, b, ), (, ,, ∙, ∘, =}",Life sciences
515,Dirichlet L-function,"{χ, (, L, n, ), s, ∞, ∑, =, ,}",Life sciences
516,Dirichlet algebra,"{), (, +, ¯, S, R, X, =}",Life sciences
517,Dirichlet process,"{D, ), H, ,, P, ∼, α, (, X}",Applied sciences
518,Dirichlet series,"{a, n, s, ∞, ∑, =}",Life sciences
519,Dirichlet's principle,"{Δ, +, =, u, f}",Life sciences
520,Dirichlet's unit theorem,"{log, ], +, ,, ⁡, [, −, ×, |}",Life sciences
521,Discounted utility,"{), (, u, t, x, β}",Society
522,Discrete series representation,"{⟨, ⋅, g, ⟩, ), (, ,, ρ, w, v}",Life sciences
523,Discrete-time Fourier transform,"{e, G, ), (, s, ,, S, x, α, =}",Applied sciences
524,Discretization,"{A, B, ), (, +, u, t, w, x, ˙, =}",Life sciences
526,Dispersion relation,"{), (, λ, =, v}",Physical sciences
527,Dispersionless equation,"{), (, +, ,, u, t, y, x, =}",Life sciences
528,Distributive law between monads,"{→, S, l, T}",Life sciences
530,Dividing a circle into areas,"{f, i, (, +, n, ), ∑, −, =}",Physical sciences
532,Dixon's identity,"{a, !, ), (, k, ∑, −, =, +}",Life sciences
533,Dodgson condensation,"{⟨, ⟩, ), (, j, m, l, ,, s, μ, z, =, |}",Life sciences
536,Doomsday rule,"{a, c, D, ), h, +, m, o, n, s, r, (, ⌋, ⌊, y, mod, =, d}",Applied sciences
537,Doppler broadening,"{c, f, ln, σ, k, =, m, T, ⁡, Δ}",Physical sciences
538,Doppler effect,"{c, f, ), (, +, v, =}",Physical sciences
539,Dot gain,"{a, −, =, D, G}",Society
540,Douady rabbit,"{γ, ), (, +, z, M, n, −, =}",Life sciences
541,Double Fourier sphere method,"{∈, cos, f, ), ×, =, ,, π, θ, λ, (, ⁡, [, −, ], sin}",Society
542,Double coset,"{H, K, /, G, ∖}",Life sciences
544,Double origin topology,"{∈, ∪, ), =, +, ,, /, n, R, (, y, x, {, N, }, <, >}",Life sciences
545,Double-layer capacitance,"{E, =, U, d, ,}",Professional studies
546,Double-well potential,"{A, a, c, ), h, /, n, r, t, (, =}",Physical sciences
548,Downforce,"{D, F, H, ρ, W, v, =}",Applied sciences
549,Drude model,"{B, E, d, ), (, +, τ, m, q, p, t, =, −, ×}",Physical sciences
550,Dual basis,"{B, m, ,, …, α, −, =}",Life sciences
551,Dual curve,"{f, ), (, +, ∂, ,, q, p, r, y, x, z, =}",Life sciences
552,Dual quaternion,"{i, k, j, =, −}",Life sciences
553,Dubins–Spanier theorems,"{], i, (, j, M, ,, ), V, X, [, =}",Humanities
554,Dukhin number,"{a, D, σ, K, m, ., κ, u, =}",Physical sciences
555,Dulong–Petit law,"{=, K, M, c}",Life sciences
556,Dunford–Pettis property,"{⟨, ⟩, e, ,, n, =}",Life sciences
557,Dynamic mechanical analysis,"{a, c, e, ω, f, i, l, o, n, q, s, r, u, t, y}",Physical sciences
558,Dynamic modulus,"{a, c, e, ω, f, i, h, l, o, n, q, s, r, u, t, w, y, π, =}",Physical sciences
559,Dynamic structure factor,"{∫, ), d, ω, F, i, (, k, ,, π, →, S, t, ∞, −, ≡}",Physical sciences
560,Dynamical system,"{⊂, M, Φ, →, U, T, ×}",Life sciences
561,Dynamo theory,"{B, ), (, +, ∂, ∇, u, t, =, ×, η}",Physical sciences
562,Dynamometer,"{P, τ, =, ω, ⋅}",Physical sciences
563,Earnings surprise,"{E, ), (, σ, Q, S, U, t, −, =}",Professional studies
564,Earth potential rise,"{d, g, f, I, =, i, r, V, Z, ×}",Applied sciences
565,Earth's magnetic field,"{B, ), (, +, ∂, ∇, u, t, =, ×, η}",Society
566,Eckert IV projection,"{), (, +, ,, p, ⇒, v, x, −, =}",Society
567,Econometric model,"{a, C, b, e, +, t, Y, −, =}",Life sciences
568,Edge crush test,"{C, B, E, d, =, U, T, ×}",Applied sciences
569,Edge detection,"{f, I, (, +, σ, l, ), erf, r, ⁡, x, −, =}",Applied sciences
570,EdgeRank,"{e, d, g, s, u, w, ∑}",Applied sciences
571,Edwards curve,"{y, x, +, =, d}",Life sciences
572,Effective number of bits,"{A, B, E, D, I, O, N, S, −, =}",Life sciences
573,Efficiency wage,"{E, ), (, L, P, w, V, −, =}",Humanities
574,Ehrenfest model,"{), log, i, H, ⁡, π, P, t, (, ∑, X, −, =}",Physical sciences
575,Ehrenfeucht–Mycielski sequence,"{), f, i, lim, →, (, ∞, =}",Life sciences
576,Eigendecomposition of a matrix,"{A, Λ, =, −, V}",Life sciences
577,Einselection,"{Ψ, log, ), H, Tr, ρ, t, ⁡, (, −, =}",Physical sciences
579,Einstein notation,"{c, i, +, ∑, y, x, =}",Life sciences
581,Eisenbud–Levine–Khimshiashvili signature formula,"{⋯, f, ), (, +, ∂, n, X, x, =}",Life sciences
582,Eisenstein prime,"{a, b, e, ω, i, (, +, /, π, ), z, =}",Life sciences
583,Eisenstein triple,"{a, c, b, +, −, =}",Life sciences
584,Ekman velocity,"{∂, ×, f, ), (, +, τ, ,, ∇, u, −, ϕ, z, =, ^}",Physical sciences
585,ElGamal encryption,"{⟨, ⋅, c, g, ⟩, h, m, ,, :=, y}",Applied sciences
586,ElGamal signature scheme,"{), H, k, m, ≡, p, s, r, (, x, −, +, mod}",Applied sciences
587,Elasticity of intertemporal substitution,"{c, ), (, U, t, ∑, u, β, =, T}",Society
588,Electric field gradient,"{∂, i, j, ., V, x, =}",Physical sciences
589,Electric-field screening,"{F, π, q, ^, R, r, =, ε, |}",Physical sciences
590,Electrical length,"{c, p, κ, v, ϵ, =}",Physical sciences
591,Electroacoustic phenomena,"{A, C, ), E, d, I, (, m, ρ, p, S, μ, V, ϕ, −, =}",Physical sciences
592,Electrokinematics theorem,"{A, Ω, ⋅, J, d, F, ∂, ∫, Φ, q, S, r, t, −, =, ε}",Life sciences
593,Electromagnetic wave equation,"{d, g, +, θ, t, ℓ, ⁡, =, sin}",Life sciences
594,Electron affinity,"{a, A, C, E, c, ≡, v, −}",Physical sciences
596,Electron nuclear double resonance,"{E, F, H, +, N, Q, S, Z, =}",Physical sciences
597,Electrophile,"{χ, =, ω, η}",Physical sciences
598,Electrovacuum solution,"{a, ⋆, B, E, F, I, (, ∥, ∧, →, ), b, −, =}",Life sciences
599,Elementary matrix,"{i, R, ↔, j}",Life sciences
600,Ellipsoid method,"{∈, −, E, ), (, =, n, P, R, T, x, {, z, }, ⩽}",Life sciences
601,Ellipsoidal coordinates,"{a, c, b, ), (, +, ,, −, λ, μ, ν, y, x, z, =}",Life sciences
602,Ellipsometry,"{Ψ, ), e, i, =, ρ, p, s, r, (, ⁡, tan, Δ}",Applied sciences
603,Elliptic Gauss sum,"{), χ, (, m, /, π, p, t, ∑, ϕ, −}",Life sciences
604,Ellis wormhole,"{c, d, τ, σ, t, −, =}",Physical sciences
605,Embree–Trefethen constant,"{−, →, ), ∀, +, σ, ,, /, n, lim, (, ∞, x, β, :, =, |, ∗, ±}",Life sciences
606,Empirical distribution function,"{A, ⋅, ×, ⟶}",Applied sciences
607,Empirical process,"{), F, i, ], ∞, ,, n, I, (, x, ∑, X, −, =}",Applied sciences
608,Empty lattice approximation,"{E, G, ), (, ℏ, m, n, +, =, k}",Physical sciences
609,End correction,"{⋅, D, =, L, r, Δ}",Physical sciences
610,Energetic space,"{a, B, E, f, i, (, l, o, n, ), r, u, v, Y, =, ,, |}",Life sciences
611,Engine efficiency,"{a, b, e, d, h, k, o, n, Q, s, r, t, w, −, =, η}",Applied sciences
612,Enriques surface,"{), (, +, ,, Q, w, y, x, z, =}",Life sciences
613,Ensemble Kalman filter,"{∝, ), (, Q, p, μ, T, exp, ⁡, x, −}",Physical sciences
614,Ensemble interpretation,"{⟩, +, =, |, ψ}",Society
616,Entropy in thermodynamics and information theory,"{B, i, ln, k, ,, p, S, ⁡, ∑, −, =}",Life sciences
617,Entropy rate,"{), lim, …, ,, n, →, (, H, ∞, X, =}",Applied sciences
618,Enumerator polynomial,"{A, ∈, C, #, ), (, ∣, =, c, t, w, {, }}",Life sciences
619,Enveloping von Neumann algebra,"{A, ″, ), (, Φ, π, →, U}",Life sciences
620,Epistemic modal logic,"{), ψ, i, φ, K, ∧, ⟹, (}",Applied sciences
621,Equation-free modeling,"{d, ), (, +, ,, U, t, u, −, =}",Applied sciences
622,Equianharmonic,"{), (, Γ, /, π}",Life sciences
623,Equidistributed sequence,"{a, ∩, c, b, d, →, =, …, ,, n, lim, s, [, ∞, }, {, −, ], |}",Life sciences
624,Equinumerosity,"{A, B, ≈, ,, o, r, ∼, =, |}",Life sciences
625,Equivalence class,"{a, ∈, ∣, S, ∼, x, {, }}",Life sciences
626,Equivalent impedance transforms,"{q, =, +, m}",Physical sciences
627,Equivalent noise resistance,"{e, f, =, k, n, R, T, Δ}",Life sciences
628,Erdős–Borwein constant,"{B, E, n, ∞, ∑, −, =}",Life sciences
630,Erdős–Turán inequality,"{a, C, m, n, θ, ⁡, x, =, sin}",Life sciences
631,Ergodic sequence,"{A, →, ), (, k, ,, N, q, lim, t, ∞, =}",Life sciences
632,Ermakov–Lewis invariant,"{Ω, ), H, +, =, q, p, t, (, [, ], ^}",Physical sciences
633,Error analysis for the Global Positioning System,"{σ, +, R, m, =}",Categories by parameter
634,Essential manifold,"{), H, K, M, ,, n, →, (, π}",Life sciences
635,Essential supremum and essential infimum,"{a, ∈, f, ), (, ∞, ,, =, x, X, {, −, }, >}",Physical sciences
636,Eternal dominating set,"{≥, G, ), H, ◻, (, ∞, γ}",Life sciences
637,Euclidean quantum gravity,"{a, ∫, e, D, g, ), (, +, m, L, R, r, t, exp, ⁡, x, ϕ, |, d}",Physical sciences
638,Euler characteristic,"{b, E, F, χ, k, ,, ., V, −, =, +}",Life sciences
640,Euler method,"{None, −, f, ), (, +, τ, ,, N, U, t, …, v, {, n, =}",Life sciences
641,Euler tour technique,"{g, ), (, ,, v, x}",Life sciences
642,Euler's Disk,"{a, M, π, μ, t, α, =}",Life sciences
643,Euler's criterion,"{Q, I, =, T}",Life sciences
644,Euler's formula,"{cos, e, i, (, +, ), ⁡, x, =, sin}",Life sciences
645,Euler's identity,"{i, =, +, e, π}",Life sciences
646,Euler's sum of powers conjecture,"{a, b, i, k, n, ∑, =}",Life sciences
647,Euler's theorem,"{cos, e, +, κ, ⁡, α, =, sin}",Life sciences
648,Euler's totient function,"{∏, ), φ, n, p, (, −, =, |}",Life sciences
649,Eulerian number,"{A, ), (, k, m, ,, n, t, ∑, −, =, +}",Life sciences
650,Euler–Maclaurin formula,"{∑, −, !, ∫, ), (, +, ,, =, <, None, B, R, a, b, d, f, k, m, ⩽, x, {, }, |}",Life sciences
651,Euler–Tricomi equation,"{y, x, +, =, u}",Life sciences
653,Evenly spaced integer topology,"{a, ∈, }, k, λ, {, Z, =, +}",Life sciences
654,Event calculus,"{⇆, C, D, G, F}",Humanities
655,Evolvability,"{∈, Perf, f, ), (, ⁡, ,, n, r, X, ∑, x, =, D}",Life sciences
656,Examples of generating functions,"{G, ), (, n, ∞, ∑, x, ;, −, =}",Life sciences
657,Excess demand function,"{⋅, d, f, ), (, ,, ., P, λ, t, =}",Society
658,Excursion probability,"{∈, f, ), (, ≥, P, u, t, sup, {, }, T}",Applied sciences
659,Existential generalization,"{a, ), (, ∃, Q, →, x}",Life sciences
660,Expected value of including uncertainty,"{−, =}",Society
661,Explicit algebraic stress model,"{b, G, i, (, j, ), λ, T, ∑, =}",Physical sciences
662,Exponential decay,"{d, N, λ, t, −, =}",Life sciences
663,Exponential factorial,"{), (, −, ⋯, n}",Life sciences
664,Exponential object,"{g, ), (, ,, λ, y, x, =}",Life sciences
665,Exponential sheaf sequence,"{M, O, →, exp, ⁡, ∗}",Life sciences
666,Exponential smoothing,"{a, A, f, ), (, k, n, ∑, x, =}",Applied sciences
667,Exponential utility,"{a, c, e, ), (, None, /, u, ≠, {, −, =}",Society
668,Exponentially modified Gaussian distribution,"{c, B, e, ω, M, =}",Life sciences
669,Extended Kalman filter,"{f, ), (, k, ,, u, w, x, −, =, +}",Professional studies
670,Extensions of symmetric operators,"{i, +, z, −, ↦}",Life sciences
671,Extouch triangle,"{A, C, B, ), (, csc, T, ⁡, ;, :, =, /}",Life sciences
672,Extremal graph theory,"{⌊, ⌋, n}",Life sciences
673,Extreme learning machine,"{f, i, h, L, ), (, ∑, x, β, =}",Life sciences
674,F-algebra,"{), lim, −, e, f, i, H, +, =, ,, /, →, Q, P, (, E, Γ, Δ, ε}",Life sciences
675,F-distribution,"{∈, ∏, ), (, K, p, t, x, −, =}",Auxiliary sciences of history
676,FEE method,"{I, A, ∝, L}",Applied sciences
678,FIFA World Rankings,"{), (, −, =, /}",Applied sciences
679,Factor graph,"{∏, g, f, ), (, j, m, ,, n, S, …, X, =}",Life sciences
680,Factor of safety,{=},Applied sciences
681,Fan-out,"{min, I, (, ⁡, ,, ), ⌋, ⌊, =}",Applied sciences
682,Faraday constant,"{A, =, F, e, N}",Physical sciences
683,Faraday's law of induction,"{A, ⋅, B, d, ), (, Σ, ,, Φ, r, t, =, ∬}",Life sciences
684,Faro shuffle,"{+, σ, ,, [, −, ]}",Society
685,Farrell–Jones conjecture,"{G, ), (, K, n, R}",Life sciences
686,Fast marching method,"{Ω, f, ), (, ∈, ∇, u, /, x, =, |}",Life sciences
687,Fatou–Lebesgue theorem,"{), (, →, SO, ⁡, Spin}",Life sciences
688,Favard constant,"{), =, K, ], π, r, (, ∞, ∑, [, −, +, k}",Life sciences
689,Federal Bridge Gross Weight Formula,"{w, ), (, +, n, ℓ, −, =}",Applied sciences
690,Feller's coin-tossing constants,"{), (, s, Alph, ⁡}",Life sciences
691,Fermat curve,"{y, x, +, =, n}",Life sciences
692,Fermat's little theorem,"{a, ), (, ≡, p, −, mod}",Life sciences
693,Fermi level,"{A, B, e, μ, V, −, =}",Physical sciences
694,Fermion doubling,"{∫, ¯, d, ψ, ), (, +, ∂, m, /, S, x, =}",Physical sciences
695,Fermi–Dirac statistics,"{A, ∩, B, i, (, +, j, ,, ), S, ∑, X, −, =, |}",Auxiliary sciences of history
696,Fermi–Walker transport,"{d, F, ), (, +, ,, s, V, X, −, =, D}",Life sciences
697,Fiber Bragg grating,"{B, e, Λ, n, λ, =}",Applied sciences
698,Fibonacci coding,"{d, F, i, (, k, ,, N, ), ∑, −, =, +}",Society
700,Field electron emission,"{=, γ, M, F}",Physical sciences
702,Filtration,"{⊆, ≤, ⟹, t, F}",Humanities
703,Final value theorem,"{f, ), (, ∞, →, t, lim}",Life sciences
704,Financial correlation,"{d, ), (, +, σ, S, μ, t, z, =}",Life sciences
705,Fineness modulus,"{a, e, d, F, i, f, m, l, o, n, s, r, u, t}",Physical sciences
706,First break picking,"{arcsin, ⁡, =, t, sin}",Physical sciences
707,First fundamental form,"{⟨, ⟩, I, (, ,, ), y, x, =}",Life sciences
708,First law of thermodynamics,"{E, d, +, Q, t, W, =}",Life sciences
709,Fischer group Fi24,"{), (, +, N, T, ∑, x, n, =}",Life sciences
710,Fisher consistency,"{F, ), (, n, θ, T, =, ^}",Auxiliary sciences of history
712,Fitting subgroup,"{C, Fit, G, ), H, K, ⁡, /, =, (, ⋂, {, }}",Life sciences
713,Flatness problem,"{a, c, G, H, k, ρ, π, −, =}",Physical sciences
714,Fleming–Tamao oxidation,"{Ω, f, =, ∂, ,, u, −, Δ, |}",Life sciences
715,Flipped SU(5),"{a, c, d, →, ), (, ¯, l, /, n, <, p, s, ⊕, u, −, ,, >}",Physical sciences
718,Folded unipole antenna,"{I, P, R, =}",Physical sciences
719,Forces on sails,"{E, D, F, +, L, R, T, V, =}",Applied sciences
722,Fouling,"{P, k, =, d, t}",Professional studies
723,Foundational relation,"{A, ⊆, ∈, ), ∀, ∃, ∅, ⇒, ≠, ∩, S, R, ∧, (, }, x, {, −, =, ,}",Life sciences
724,Four-acceleration,"{A, a, c, d, ⋅, ), (, +, τ, ,, U, u, ˙, γ, =}",Physical sciences
725,Four-current,"{c, j, ), (, J, ,, ρ, μ, =}",Physical sciences
726,Four-frequency,"{a, ), (, ,, N, ν, n, =, ^}",Life sciences
728,Fractional Brownian motion,"{B, E, ), H, +, ], s, t, (, [, −, =, |}",Applied sciences
729,Fractional Schrödinger equation,"{⋅, log, ), (, k, m, N, S, r, ⁡, −, =, +}",Physical sciences
730,Fractional coloring,"{b, G, f, χ, lim, →, ), (, ∞, inf, =}",Life sciences
731,Fracture toughness,"{d, ), (, L, O, P, S}",Physical sciences
733,Fransén–Robinson constant,"{∫, d, F, ), (, ∞, x, Γ, =}",Life sciences
735,Free cash flow,"{C, B, F, I, O, t, −, =}",Professional studies
736,Free energy perturbation,"{d, ), (, cosh, s, sinh, ⁡, −, =}",Applied sciences
737,Free regular set,"{Ω, ¯, ∈, ), H, +, τ, ,, |, (, }, {, Γ, =, <, >}",Life sciences
738,Free variables and bound variables,"{f, ), (, k, ,, n, ∑, =}",Society
739,Free-air gravity anomaly,"{b, g, F, =, +, o, s, λ, −, δ}",Physical sciences
740,Free-electron laser,"{λ, ), (, K, r, u, γ, =, +}",Applied sciences
741,Freiheitssatz,"{⟨, ⟩, G, ,, n, r, …, x, =, |}",Life sciences
742,Frequency offset,"{⋅, c, f, h, +, L, o, p, s, =}",Applied sciences
743,Fresnel integral,"{cos, d, ), (, ∫, C, ,, S, t, ⁡, x, =, sin}",Life sciences
744,Fresnel number,"{a, λ, =, L, F}",Life sciences
745,Friedmann–Lemaître–Robertson–Walker metric,"{a, d, χ, (, k, ), s, t, x, −, =, +}",Life sciences
